"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\dao\EmpresaDao.java", "Java", 30, 0, 8, 38
"c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\ui\SubmenuEmpresa.java", "Java", 43, -1, 14, 56
"c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\dao\EmpresaDao.class", "Java", 6, 0, 0, 6
"c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\ui\SubmenuEmpresa.class", "Java", 12, 0, 0, 12
"Total", "-", 91, -1, 22, 112
